ID,PSIA,PW,PV1,PV2,COMMENTS
103,138.3,27.7,12.64,17.18,
106,130,26.35,14.29,15.2,
14,118,15.3,8.78,8.8,
146,135,18.24,10.45,8.8,
15,129,15.28,8.87,7.75,
150,134,31.46,16.45,16.7,
152,137.2,23.54,12.22,12.33,
153,135.2,23.32,12.47,12.51,
154,128.6,21.16,11.07,11.91,
155,134,23.52,11.54,13.44,
156,134,23.45,12.51,12.9,
157,122,20.87,11.35,12.93,
158,132,11.19,6.23,6.03,
159,132,14.02,6.99,7.98,
160,132.3,16.19,8.8,8.72,
170,137.3,27.4,14.57,13.28,
173,137.7,24.97,13.84,13.69,
174,136.1,22.08,12.41,12.88,
175,135.7,21.85,11.19,12.66,
176,136.9,22.41,11.41,12.28,
177,138,18.33,9.49,10.23,
179,135.4,20.17,11.23,11.05,
200,135.5,20.05,10.74,11.13,
201,136.3,21.61,11.81,11,
202,132.8,23.06,12.4,11.93,
204,131.7,20.29,10.95,11.45,
207,134.6,22.87,13.22,11.4,
208,136.7,37.92,20.07,19.85,
210,136.7,28.16,15.46,14.29,
212,139.2,16.61,9.17,9.11,
213,136.1,19.54,10.18,10.86,
216,130,11.75,6.21,6.25,
217,133,9.17,4.79,4.46,
218,135.2,26.57,14.79,14.69,
219,140.8,6.05,2.8,2.83,
220,126.9,9.75,5.41,4.89,
221,123.5,12.08,7.35,6.23,
222,133,14.15,7.91,7.66,
223,127,14.59,7.56,7.9,"has erailleur, so not reliable"
224,135.1,23.75,13.59,12.18,
229,135.8,22.6,12.68,12.16,
23,126.3,18.46,10.96,10.61,
241,143.2,21.9,11.24,12.2,
242,136.1,31.31,16.81,16.88,
243,133,13.27,7.76,6.87,
244,136.1,33.48,18.86,17.71,
248,133,24.71,13.47,13.19,
253,131,22.57,12.9,11.43,
257,135.8,26.07,14.57,14.1,
437,136.3,14.37,7.55,7.39,
482,138.1,26.69,15.85,13.15,
483,135.5,19.5,10.87,10.2,
489,136.8,19.94,9.96,10.67,
